Tempo (s),Percentagem Preto
0.0,2.8080000000000003
0.04,2.8261000000000003
0.08,2.4871999999999996
0.12,2.4556
0.16,1.9526999999999999
0.2,1.5925000000000002
0.24,1.224
0.28,1.3838
0.32,1.3015
0.36,1.3974
0.4,1.8341
0.44,2.0795999999999997
0.48,2.1263
0.52,2.2107
0.56,2.3053
0.6,2.2776
0.64,2.3383000000000003
0.68,2.3449999999999998
0.72,2.5681
0.76,2.6331
0.8,2.2574
0.84,2.1975000000000002
0.88,2.1854
0.92,2.4367
0.96,2.455
1.0,2.3862
1.04,2.4491
1.08,2.5852
1.12,2.9402
1.16,2.7792
1.2,2.2277
1.24,1.9
1.28,1.6782
1.32,1.7081
1.36,1.9573
1.4,2.8262
1.44,3.2162999999999995
1.48,3.344
1.52,2.9316999999999998
1.56,2.6155
1.6,2.4669
1.64,2.5764
1.68,2.626
1.72,2.4957
1.76,2.1256
1.8,2.5762
1.84,3.2869
1.88,3.2266999999999997
1.92,2.8667000000000002
1.96,2.8355
2.0,2.8415
2.04,2.7901
2.08,2.8167999999999997
2.12,2.8086
2.16,2.646
2.2,2.9238
2.24,2.7372
2.28,2.3526
2.32,2.4379
2.36,2.8164000000000002
2.4,2.9548
2.44,3.4623
2.48,3.1186
2.52,2.8399
2.56,2.8729
2.6,3.1985
2.64,3.2045
2.68,3.3952000000000004
2.72,3.4221000000000004
2.76,3.4059
2.8,3.0212
2.84,3.0311999999999997
2.88,2.9006
2.92,2.468
2.96,2.4045
3.0,2.5649
3.04,2.5159000000000002
3.08,2.3115
3.12,2.3778
3.16,2.349
3.2,2.5099
3.24,2.474
3.28,2.5406999999999997
3.32,2.6134999999999997
3.36,2.6961
3.4,2.7537
3.44,2.1784000000000003
3.48,2.1735
3.52,2.1924
3.56,2.4042
3.6,2.3870999999999998
3.64,2.4196
3.68,2.046
3.72,1.9742
3.76,2.108
3.8,2.2880000000000003
3.84,2.469
3.88,2.5614999999999997
3.92,2.5557
3.96,2.7443
4.0,2.6952
4.04,2.6090999999999998
4.08,2.5509
4.12,2.5751
4.16,2.589
4.2,2.4171
4.24,2.2835
4.28,2.3032
4.32,2.4745
4.36,2.2849
4.4,2.2324
4.44,2.1635
4.48,2.4596
4.52,2.4912
4.56,2.4306
4.6,2.3522000000000003
4.64,2.3519
4.68,2.1349
4.72,2.1534999999999997
4.76,2.1301
4.8,2.101
4.84,2.0368
4.88,2.1884
4.92,2.3734
4.96,2.2683999999999997
5.0,2.1967
5.04,2.128
5.08,1.9716999999999998
5.12,2.0646999999999998
5.16,1.9348
5.2,1.7988
5.24,1.4951
5.28,1.6240999999999999
5.32,1.6318
5.36,2.0208
5.4,2.3116000000000003
5.44,2.467
5.48,2.452
5.52,2.4255
5.56,2.4822
5.6,2.5052000000000003
5.64,2.6389
5.68,2.7569
5.72,2.8469
5.76,2.4962
5.8,2.2856
5.84,2.7943
5.88,3.2585
5.92,3.9182
5.96,4.2846
6.0,3.338
6.04,3.0227
6.08,2.9676
6.12,3.101
6.16,3.221
6.2,3.175
6.24,3.0890999999999997
6.28,3.0252
6.32,3.025
6.36,3.2285
6.4,3.1329999999999996
6.44,2.9314
6.48,2.6254
6.52,2.7005999999999997
6.56,2.6518
6.6,2.6321
6.64,2.6524
6.68,2.6569
6.72,2.8850000000000002
6.76,3.1708
6.8,2.948
6.84,3.0225
6.88,2.9704
6.92,2.8273
6.96,2.7016
7.0,2.6784
7.04,2.5787
7.08,2.63
7.12,2.6304000000000003
7.16,2.2037
7.2,2.1467
7.24,2.2016999999999998
7.28,2.5315
7.32,2.5984
7.36,2.3255999999999997
7.4,1.9283000000000001
7.44,1.6273
7.48,1.5624
7.52,1.3046
7.56,1.5445
7.6,1.5941
7.64,1.8013000000000001
7.68,1.879
7.72,2.0995
7.76,2.094
7.8,2.3232
7.84,2.3283
7.88,2.7677
7.92,3.3045
7.96,2.9144
8.0,2.7885
8.04,2.8996
8.08,2.7699000000000003
8.12,2.8022
8.16,3.0811
8.2,3.1264
8.24,2.8407999999999998
8.28,2.5999000000000003
8.32,2.9846
8.36,3.5244999999999997
8.4,3.9146
8.44,3.2938
8.48,2.9755
8.52,2.8439
8.56,2.9812000000000003
8.6,2.8935
8.64,2.8992
8.68,2.5916
8.72,2.2923999999999998
8.76,2.0826000000000002
8.8,2.4873
8.84,2.6604
8.88,2.2453999999999996
8.92,2.0205
8.96,1.9640000000000002
9.0,1.9923
9.04,2.1870000000000003
9.08,2.0717
9.12,2.0778000000000003
9.16,2.2035
9.2,2.1473
9.24,2.7868
9.28,2.7185
9.32,2.4937
9.36,2.2795
9.4,1.9785000000000001
9.44,1.9997
9.48,2.3184
9.52,2.4781999999999997
9.56,2.5718
9.6,2.2136
9.64,2.2138
9.68,2.0315
9.72,2.2801
9.76,2.8137
9.8,3.1604
9.84,2.2258
9.88,2.4756
9.92,2.8384
9.96,3.0248
10.0,3.3495
10.04,3.0508
10.08,2.6016
10.12,2.6228000000000002
10.16,2.6494
10.2,2.5639
10.24,2.2789
10.28,2.1172
10.32,2.092
10.36,2.3120000000000003
10.4,2.4948
10.44,2.9735
10.48,3.5141
10.52,3.977
10.56,3.1403
10.6,3.0406
10.64,3.1341
10.68,3.1298
10.72,2.9934
10.76,2.7892
10.8,3.1704999999999997
10.84,3.3189
10.88,3.2297
10.92,3.2713
10.96,3.1794999999999995
11.0,2.5856
11.04,2.6479
11.08,2.7157
